run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	center_name	experiment_title	study_alias	experiment_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR15158146	PRJEB90290	SAMEA118556974	ERX14563490	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	SAMP166	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	Illumina MiSeq sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-16:04:27:668-44388	ena-RUN-TAB-25-06-2025-16:04:27:669-44389	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/046/ERR15158146/ERR15158146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/046/ERR15158146/ERR15158146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158146/10_S10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158146/10_S10_L001_R2_001.fastq.gz		flomics_1_5	SAMP166_EXP101_S2_Technical_replicate_2	ftp.sra.ebi.ac.uk/vol1/err/ERR151/046/ERR15158146/ERR15158146.bam
ERR15158147	PRJEB90290	SAMEA118556975	ERX14563491	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	SAMP167	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	Illumina MiSeq sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-16:04:27:669-44390	ena-RUN-TAB-25-06-2025-16:04:27:669-44391	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/047/ERR15158147/ERR15158147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/047/ERR15158147/ERR15158147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158147/11_S11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158147/11_S11_L001_R2_001.fastq.gz		flomics_1_6	SAMP167_EXP101_S3_Technical_replicate_3	ftp.sra.ebi.ac.uk/vol1/err/ERR151/047/ERR15158147/ERR15158147.bam
ERR15158149	PRJEB90290	SAMEA118556977	ERX14563493	9606	Homo sapiens	ILLUMINA	Illumina MiSeq	SAMP165	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	Illumina MiSeq sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-16:04:27:670-44394	ena-RUN-TAB-25-06-2025-16:04:27:670-44395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/049/ERR15158149/ERR15158149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/049/ERR15158149/ERR15158149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158149/9_S9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158149/9_S9_L001_R2_001.fastq.gz		flomics_1_8	SAMP165_EXP101_S1_Technical_replicate_1	ftp.sra.ebi.ac.uk/vol1/err/ERR151/049/ERR15158149/ERR15158149.bam
ERR15158502	PRJEB90290	SAMEA118547772	ERX14563875	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP2681	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:196-49335	ena-RUN-TAB-25-06-2025-17:59:18:196-49336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR15158502/ERR15158502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR15158502/ERR15158502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158502/FL-SAMP-2681_S9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158502/FL-SAMP-2681_S9_L001_R2_001.fastq.gz		flomics_2_3	SAMP2681_EXP157	ftp.sra.ebi.ac.uk/vol1/err/ERR151/002/ERR15158502/ERR15158502.bam
ERR15158506	PRJEB90290	SAMEA118547776	ERX14563879	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP2757	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:197-49343	ena-RUN-TAB-25-06-2025-17:59:18:198-49344	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR15158506/ERR15158506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR15158506/ERR15158506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158506/FL-SAMP-2757_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158506/FL-SAMP-2757_S7_L001_R2_001.fastq.gz		flomics_2_7	SAMP2757_EXP165	ftp.sra.ebi.ac.uk/vol1/err/ERR151/006/ERR15158506/ERR15158506.bam
ERR15158507	PRJEB90290	SAMEA118547777	ERX14563880	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP2758	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:198-49345	ena-RUN-TAB-25-06-2025-17:59:18:198-49346	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR15158507/ERR15158507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR15158507/ERR15158507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158507/FL-SAMP-2758_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158507/FL-SAMP-2758_S8_L001_R2_001.fastq.gz		flomics_2_8	SAMP2758_EXP165	ftp.sra.ebi.ac.uk/vol1/err/ERR151/007/ERR15158507/ERR15158507.bam
ERR15158509	PRJEB90290	SAMEA118547779	ERX14563882	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP2779	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:198-49349	ena-RUN-TAB-25-06-2025-17:59:18:199-49350	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR15158509/ERR15158509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/009/ERR15158509/ERR15158509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158509/FL-SAMP-2779_S26_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158509/FL-SAMP-2779_S26_L001_R2_001.fastq.gz		flomics_2_10	SAMP2779_EXP165	ftp.sra.ebi.ac.uk/vol1/err/ERR151/009/ERR15158509/ERR15158509.bam
ERR15158511	PRJEB90290	SAMEA118547781	ERX14563884	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP2987	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:199-49353	ena-RUN-TAB-25-06-2025-17:59:18:199-49354	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/011/ERR15158511/ERR15158511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/011/ERR15158511/ERR15158511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158511/FL-SAMP-2987_S31_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158511/FL-SAMP-2987_S31_L001_R2_001.fastq.gz		flomics_2_12	SAMP2987_EXP171	ftp.sra.ebi.ac.uk/vol1/err/ERR151/011/ERR15158511/ERR15158511.bam
ERR15158513	PRJEB90290	SAMEA118547783	ERX14563886	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP3014	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:200-49357	ena-RUN-TAB-25-06-2025-17:59:18:200-49358	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/013/ERR15158513/ERR15158513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/013/ERR15158513/ERR15158513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158513/FL-SAMP-3014_S17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158513/FL-SAMP-3014_S17_L001_R2_001.fastq.gz		flomics_2_14	SAMP3014_EXP171	ftp.sra.ebi.ac.uk/vol1/err/ERR151/013/ERR15158513/ERR15158513.bam
ERR15158517	PRJEB90290	SAMEA118547787	ERX14563890	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP3131	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:201-49365	ena-RUN-TAB-25-06-2025-17:59:18:201-49366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/017/ERR15158517/ERR15158517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/017/ERR15158517/ERR15158517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158517/FL-SAMP-3131_S37_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158517/FL-SAMP-3131_S37_L001_R2_001.fastq.gz		flomics_2_18	SAMP3131_EXP176	ftp.sra.ebi.ac.uk/vol1/err/ERR151/017/ERR15158517/ERR15158517.bam
ERR15158522	PRJEB90290	SAMEA118547792	ERX14563895	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP4596	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:203-49375	ena-RUN-TAB-25-06-2025-17:59:18:203-49376	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/022/ERR15158522/ERR15158522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/022/ERR15158522/ERR15158522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158522/FL-SAMP-4596_S53_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158522/FL-SAMP-4596_S53_L001_R2_001.fastq.gz		flomics_2_23	SAMP4596_EXP189	ftp.sra.ebi.ac.uk/vol1/err/ERR151/022/ERR15158522/ERR15158522.bam
ERR15158523	PRJEB90290	SAMEA118547793	ERX14563896	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP4603	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:203-49377	ena-RUN-TAB-25-06-2025-17:59:18:203-49378	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/023/ERR15158523/ERR15158523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/023/ERR15158523/ERR15158523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158523/FL-SAMP-4603_S57_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158523/FL-SAMP-4603_S57_L001_R2_001.fastq.gz		flomics_2_24	SAMP4603_EXP189	ftp.sra.ebi.ac.uk/vol1/err/ERR151/023/ERR15158523/ERR15158523.bam
ERR15158524	PRJEB90290	SAMEA118547794	ERX14563897	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP4695	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:204-49379	ena-RUN-TAB-25-06-2025-17:59:18:204-49380	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/024/ERR15158524/ERR15158524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/024/ERR15158524/ERR15158524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158524/FL-SAMP-4695_S25_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158524/FL-SAMP-4695_S25_L001_R2_001.fastq.gz		flomics_2_25	SAMP4695_EXP192_23	ftp.sra.ebi.ac.uk/vol1/err/ERR151/024/ERR15158524/ERR15158524.bam
ERR15158525	PRJEB90290	SAMEA118547795	ERX14563898	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP4699	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:204-49381	ena-RUN-TAB-25-06-2025-17:59:18:204-49382	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/025/ERR15158525/ERR15158525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/025/ERR15158525/ERR15158525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158525/FL-SAMP-4699_S28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158525/FL-SAMP-4699_S28_L001_R2_001.fastq.gz		flomics_2_26	SAMP4699_EXP192_27	ftp.sra.ebi.ac.uk/vol1/err/ERR151/025/ERR15158525/ERR15158525.bam
ERR15158534	PRJEB90290	SAMEA118547804	ERX14563907	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP5661	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:207-49399	ena-RUN-TAB-25-06-2025-17:59:18:207-49400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/034/ERR15158534/ERR15158534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/034/ERR15158534/ERR15158534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158534/FL-SAMP-5661_S35_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158534/FL-SAMP-5661_S35_L001_R2_001.fastq.gz		flomics_2_35	SAMP5661_EXP228_40	ftp.sra.ebi.ac.uk/vol1/err/ERR151/034/ERR15158534/ERR15158534.bam
ERR15158539	PRJEB90290	SAMEA118547809	ERX14563912	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP6516	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:209-49409	ena-RUN-TAB-25-06-2025-17:59:18:209-49410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/039/ERR15158539/ERR15158539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/039/ERR15158539/ERR15158539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158539/FL-SAMP-6516_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158539/FL-SAMP-6516_S3_L001_R2_001.fastq.gz		flomics_2_40	SAMP6516_EXP247_2	ftp.sra.ebi.ac.uk/vol1/err/ERR151/039/ERR15158539/ERR15158539.bam
ERR15158545	PRJEB90290	SAMEA118547815	ERX14563918	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP6749	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:211-49421	ena-RUN-TAB-25-06-2025-17:59:18:211-49422	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/045/ERR15158545/ERR15158545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/045/ERR15158545/ERR15158545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158545/FL-SAMP-6749_S49_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158545/FL-SAMP-6749_S49_L001_R2_001.fastq.gz		flomics_2_46	SAMP6749_EXP250_8	ftp.sra.ebi.ac.uk/vol1/err/ERR151/045/ERR15158545/ERR15158545.bam
ERR15158546	PRJEB90290	SAMEA118547816	ERX14563919	9606	Homo sapiens	ILLUMINA	NextSeq 2000	SAMP6754	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	Flomics Biotech SL;Flomics	NextSeq 2000 sequencing	cfa734f7-461e-4b85-b2e5-770c2a926ae4	ena-EXPERIMENT-TAB-25-06-2025-17:59:18:211-49423	ena-RUN-TAB-25-06-2025-17:59:18:211-49424	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/046/ERR15158546/ERR15158546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/046/ERR15158546/ERR15158546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158546/FL-SAMP-6754_S53_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR15158546/FL-SAMP-6754_S53_L001_R2_001.fastq.gz		flomics_2_47	SAMP6754_EXP250_13	ftp.sra.ebi.ac.uk/vol1/err/ERR151/046/ERR15158546/ERR15158546.bam
